Loja,Produto,Categoria,Data,Quantidade,Valor Unitário Médio,Total
Restaurante Bodogami,BATIDO COCO LOKO,DRINKS ALCOOLICOS,05/09/2021,1,"R$18,00","R$18,00"
Restaurante Bodogami,CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,15/07/2021,1,"R$9,00","R$9,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,18/05/2022,1,"R$7,00","R$7,00"
Restaurante Bodogami,FRAPPE MOCHA,CAFE CLASSICOS,12/11/2021,2,"R$15,00","R$30,00"
Restaurante Bodogami,FRAPPE COOKIESN CREAM,CAFE AUTORAIS,16/04/2022,2,"R$21,00","R$42,00"
Restaurante Bodogami,RIFA RISING SUN,EVENTOS,06/08/2021,1,"R$15,00","R$15,00"
Restaurante Bodogami,ESPRESSO EXTRA,CAFE CLASSICOS,19/02/2022,1,"R$2,00","R$2,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,21/09/2022,1,"R$9,00","R$9,00"
Restaurante Bodogami,CHA QUENTE BANCHA,BEBIDAS,06/05/2021,1,"R$5,00","R$5,00"
Restaurante Bodogami,CARAMELO MACCHIATO,CAFE AUTORAIS,11/05/2022,2,"R$9,00","R$18,00"
Restaurante Bodogami,CAIPIRINHA,DRINKS ALCOOLICOS,19/02/2023,5,"R$24,00","R$120,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,08/10/2021,6,"R$5,00","R$30,00"
Restaurante Bodogami,PAN GALACTIC GARGLE BLASTER,DRINKS ALCOOLICOS,25/02/2021,1,"R$29,00","R$29,00"
Restaurante Bodogami,MELON FRESH,DRINKS NAO ALCOOLICOS,09/09/2021,3,"R$15,00","R$45,00"
Restaurante Bodogami,COUVERT LUDICO FDS,EVENTOS,08/01/2022,132,"R$25,00","R$3.300,00"
Restaurante Bodogami,DOSE DE SAQUE,DRINKS ALCOOLICOS,28/03/2023,1,"R$5,00","R$5,00"
Restaurante Bodogami,ICED TEA,BEBIDAS,06/07/2022,6,"R$8,00","R$48,00"
Restaurante Bodogami,CHANTILY EXTRA,CAFE CLASSICOS,07/01/2023,4,"R$2,00","R$8,00"
Restaurante Bodogami,COCADA FRESH,DRINKS NAO ALCOOLICOS,26/10/2021,1,"R$9,00","R$9,00"
